transcript	l_tr	l_utr5	l_cds	l_utr3
ENST00000078429	4190	290	1080	2820
ENST00000054650	1366	158	720	488
ENST00000078445	2588	117	1386	1085
ENST00000064778	7296	285	735	6276
ENST00000053243	891	115	555	221
ENST00000046794	4232	166	1602	2464
ENST00000064780	3402	126	1293	1983
ENST00000045083	4279	318	2841	1120
ENST00000039007	1522	93	1065	364
ENST00000075120	3827	153	1491	2183
ENST00000025301	9915	176	5706	4033
ENST00000167106	6449	1354	1098	3997
ENST00000159111	5604	226	3291	2087
ENST00000161863	6305	202	4293	1810
ENST00000185150	2446	167	1452	827
ENST00000164133	2729	604	1494	631
ENST00000158771	4167	17	720	3430
ENST00000167588	1804	57	1275	472
ENST00000182290	1380	137	963	280
ENST00000085068	1122	137	666	319
ENST00000175756	3616	52	1383	2181
ENST00000194530	2222	294	1257	671
ENST00000176195	526	38	366	122
ENST00000194214	685	160	435	90
ENST00000180173	5110	59	1983	3068
ENST00000159087	4178	185	3699	294
ENST00000194155	4089	176	2397	1516
ENST00000167586	1636	61	1419	156
ENST00000188312	1737	37	1191	509
ENST00000164024	11933	252	9939	1742
ENST00000194097	6088	255	4212	1621
ENST00000177694	2583	219	1608	756
ENST00000160373	5904	26	4992	886
ENST00000182527	7047	145	1113	5789
ENST00000192314	1452	134	1197	121
ENST00000184266	651	24	390	237
ENST00000084798	1715	555	987	173
ENST00000160827	2081	9	1998	74
ENST00000163416	2879	182	2196	501
ENST00000175238	3367	83	2265	1019
ENST00000181796	3788	234	921	2633
ENST00000168216	954	25	786	143
ENST00000085219	3274	66	2544	664
ENST00000158762	2511	206	2223	82
ENST00000166534	2230	222	1608	400
ENST00000086933	2625	9	618	1998
ENST00000157600	8284	116	1098	7070
ENST00000170564	3191	13	2796	382
ENST00000183605	3355	61	786	2508
ENST00000169298	4604	633	1221	2750
ENST00000157812	1754	38	1257	459
ENST00000156626	2489	119	1803	567
ENST00000161006	1383	66	954	363
ENST00000173229	5986	139	1815	4032
ENST00000171887	10331	453	5208	4670
ENST00000160262	1735	10	1644	81
ENST00000184956	6108	7	3546	2555
ENST00000181383	1724	24	1272	428
ENST00000164139	2866	76	2529	261
ENST00000156471	9597	129	4458	5010
ENST00000169551	3084	286	747	2051
ENST00000174618	4925	348	1749	2828
ENST00000180166	1840	313	636	891
ENST00000160382	1524	94	1281	149
ENST00000164227	1877	83	1365	429
ENST00000176183	1399	36	1260	103
ENST00000187762	2631	79	900	1652
ENST00000176763	5892	182	2907	2803
ENST00000168148	1021	85	636	300
ENST00000194118	2203	87	1548	568
ENST00000175091	1365	108	702	555
ENST00000170168	4609	125	3666	818
ENST00000190983	1279	22	753	504
ENST00000193322	4471	90	1005	3376
ENST00000166139	2501	32	792	1677
ENST00000194152	3806	181	2388	1237
ENST00000174653	3661	282	1257	2122
ENST00000168712	3165	257	621	2287
ENST00000164305	1910	29	1665	216
ENST00000170447	2775	64	1251	1460
ENST00000155926	4344	1372	1032	1940
ENST00000184183	1614	341	639	634
ENST00000165524	264	0	264	0
ENST00000175506	2356	529	1686	141
ENST00000171111	2565	163	1875	527
ENST00000186436	6701	286	5652	763
ENST00000166345	2431	115	1299	1017
ENST00000162044	2251	50	1440	761
ENST00000155858	3929	9	3498	422
ENST00000156084	2740	61	1716	963
ENST00000190165	2493	347	1419	727
ENST00000155093	5336	417	2406	2513
ENST00000173527	1942	18	897	1027
ENST00000178638	6098	126	1065	4907
ENST00000171757	3517	310	1020	2187
ENST00000188790	2696	118	2283	295
ENST00000177742	1040	31	678	331
ENST00000181839	9525	386	4539	4600
ENST00000158009	1352	79	975	298
ENST00000162391	5524	1132	1725	2667
ENST00000166244	5019	147	3018	1854
ENST00000185206	5971	106	1233	4632
ENST00000192788	9567	168	4323	5076
ENST00000178640	2344	633	1347	364
ENST00000182377	2095	268	1548	279
ENST00000177648	4537	200	3735	602
ENST00000162749	2171	262	1368	541
ENST00000194130	3798	23	1788	1987
ENST00000155840	3224	91	2031	1102
ENST00000156109	1658	13	1431	214
ENST00000179259	8209	59	813	7337
ENST00000172229	3408	125	1284	1999
ENST00000193391	8352	203	3726	4423
ENST00000083182	6492	311	1758	4423
ENST00000161559	3491	107	1581	1803
ENST00000159060	1980	39	1707	234
ENST00000170150	1788	91	1377	320
ENST00000173898	4634	99	4296	239
ENST00000218008	4757	80	1074	3603
ENST00000197268	4711	23	1869	2819
ENST00000214869	1633	21	684	928
ENST00000216133	4111	236	756	3119
ENST00000215479	794	68	579	147
ENST00000216373	5508	295	3999	1214
ENST00000216338	936	72	741	123
ENST00000217026	2668	170	2103	395
ENST00000211936	3101	285	2256	560
ENST00000215057	2666	321	2205	140
ENST00000215838	2192	158	1284	750
ENST00000215375	995	100	507	388
ENST00000215582	2885	117	2040	728
ENST00000216455	955	78	768	109
ENST00000205214	3581	172	3297	112
ENST00000215793	5090	102	2382	2606
ENST00000211314	988	149	300	539
ENST00000211379	3779	295	3381	103
ENST00000198536	1271	170	912	189
ENST00000210633	4094	78	2532	1484
ENST00000216121	2013	31	855	1127
ENST00000206542	1976	129	1008	839
ENST00000216085	1777	428	1161	188
ENST00000216071	982	39	873	70
ENST00000196551	741	72	615	54
ENST00000217109	4032	101	1296	2635
ENST00000216106	4095	133	1806	2156
ENST00000218075	3208	522	1359	1327
ENST00000215941	2087	96	903	1088
ENST00000216341	891	30	744	117
ENST00000216254	2734	30	2343	361
ENST00000216187	3933	112	2055	1766
ENST00000206595	5770	119	2121	3530
ENST00000202773	921	19	867	35
ENST00000204726	9414	726	4497	4191
ENST00000200652	2234	223	1656	355
ENST00000201031	2862	239	1353	1270
ENST00000216115	951	61	483	407
ENST00000205557	5140	60	4512	568
ENST00000201647	2569	88	2172	309
ENST00000215885	2600	154	1530	916
ENST00000217182	1773	97	1392	284
ENST00000199708	528	28	429	71
ENST00000216489	2597	19	1170	1408
ENST00000215886	596	182	399	15
ENST00000198767	3706	39	1956	1711
ENST00000217270	4017	83	1155	2779
ENST00000217407	1825	35	1446	344
ENST00000215917	4020	14	1020	2986
ENST00000215659	1778	174	1104	500
ENST00000210313	3381	13	1515	1853
ENST00000209668	1454	71	1128	255
ENST00000216277	4515	211	2238	2066
ENST00000216122	3458	77	2205	1176
ENST00000215574	1418	172	711	535
ENST00000196482	5054	110	1662	3282
ENST00000204604	3521	246	2868	407
ENST00000199764	2594	109	1035	1450
ENST00000215781	1865	52	759	1054
ENST00000216361	2582	425	1848	309
ENST00000200181	5896	164	5469	263
ENST00000215829	3466	91	381	2994
ENST00000217260	2757	147	705	1905
ENST00000216540	2002	86	1050	866
ENST00000202017	1957	85	402	1470
ENST00000216211	1084	65	864	155
ENST00000217428	474	14	270	190
ENST00000215565	535	66	414	55
ENST00000216200	595	56	333	206
ENST00000216225	1169	21	327	821
ENST00000216039	3648	680	609	2359
ENST00000215727	2203	49	1500	654
ENST00000211998	5497	92	3405	2000
ENST00000216038	2019	91	1518	410
ENST00000199448	2515	300	675	1540
ENST00000216410	3867	194	555	3118
ENST00000204679	1975	35	918	1022
ENST00000199814	2299	77	1263	959
ENST00000217939	9804	166	8487	1151
ENST00000215904	2012	60	891	1061
ENST00000217958	1470	22	681	767
ENST00000203664	3911	198	705	3008
ENST00000216378	2209	645	831	733
ENST00000212015	4107	66	2244	1797
ENST00000216139	1430	32	1266	132
ENST00000215631	1371	232	483	656
ENST00000201586	1196	81	1098	17
ENST00000202967	1217	59	945	213
ENST00000216264	4442	104	1614	2724
ENST00000215567	1139	103	927	109
ENST00000215832	5881	205	1083	4593
ENST00000217381	2211	143	1518	550
ENST00000216274	1872	165	1557	150
ENST00000216218	3212	99	1110	2003
ENST00000217420	2550	239	1578	733
ENST00000211413	1892	112	921	859
ENST00000216802	793	29	720	44
ENST00000215906	3370	451	1110	1809
ENST00000218056	2124	505	1458	161
ENST00000209873	1815	145	1641	29
ENST00000196061	2976	63	2184	729
ENST00000206474	1642	253	1092	297
ENST00000215754	557	92	348	117
ENST00000216330	1684	411	675	598
ENST00000216185	1336	77	501	758
ENST00000207870	3667	84	1611	1972
ENST00000215555	1380	168	741	471
ENST00000218099	2800	26	1386	1388
ENST00000206020	1005	13	684	308
ENST00000216117	1554	78	867	609
ENST00000217188	4082	286	1467	2329
ENST00000216068	1474	215	318	941
ENST00000199389	4411	92	1893	2426
ENST00000200557	4614	212	2310	2092
ENST00000217971	1879	79	588	1212
ENST00000209929	5215	66	1608	3541
ENST00000209884	3414	139	1830	1445
ENST00000204566	1799	274	927	598
ENST00000204961	3303	756	1041	1506
ENST00000216492	1985	210	1374	401
ENST00000200453	2350	240	2025	85
ENST00000218089	5218	510	3807	901
ENST00000202625	2299	68	2121	110
ENST00000216714	1453	237	957	259
ENST00000216602	1521	112	759	650
ENST00000196489	2545	207	1785	553
ENST00000216733	2653	147	1686	820
ENST00000211122	908	79	669	160
ENST00000205948	1174	36	1038	100
ENST00000216129	3386	65	1935	1386
ENST00000209718	2209	651	1269	289
ENST00000200135	2873	26	2340	507
ENST00000202677	9545	164	5622	3759
ENST00000216797	1559	105	954	500
ENST00000216160	3198	23	1515	1660
ENST00000217423	749	69	426	254
ENST00000216446	1513	106	1062	345
ENST00000216237	3189	51	2118	1020
ENST00000196371	3294	67	1563	1664
ENST00000217456	2202	63	1251	888
ENST00000218068	790	79	309	402
ENST00000202831	2975	210	1755	1010
ENST00000217455	1154	77	960	117
ENST00000216127	3447	679	801	1967
ENST00000215855	855	72	636	147
ENST00000216832	3537	26	2154	1357
ENST00000199280	4180	94	816	3270
ENST00000215530	1311	31	513	767
ENST00000217043	1323	115	762	446
ENST00000216099	2515	393	1161	961
ENST00000216336	914	27	768	119
ENST00000200691	406	63	207	136
ENST00000216259	1242	35	789	418
ENST00000215531	1312	62	393	857
ENST00000216181	7451	180	5883	1388
ENST00000216799	838	166	627	45
ENST00000215956	877	264	387	226
ENST00000217133	3321	94	1356	1871
ENST00000216180	2753	107	1446	1200
ENST00000202556	5500	268	3273	1959
ENST00000218006	3728	306	3327	95
ENST00000199936	1434	172	1164	98
ENST00000215730	4259	104	777	3378
ENST00000216500	2322	456	1020	846
ENST00000217909	2507	68	1026	1413
ENST00000199320	2831	133	942	1756
ENST00000218004	2692	102	594	1996
ENST00000215812	2054	59	1203	792
ENST00000216024	2269	174	1023	1072
ENST00000217169	1334	192	897	245
ENST00000217254	2654	298	1410	946
ENST00000209728	4564	225	1683	2656
ENST00000211287	6316	70	1098	5148
ENST00000217086	5209	113	3162	1934
ENST00000216241	2530	50	2289	191
ENST00000216190	1880	101	1647	132
ENST00000215912	2420	144	792	1484
ENST00000217402	1602	121	675	806
ENST00000215368	2424	296	642	1486
ENST00000216968	1349	83	717	549
ENST00000200676	1691	30	1482	179
ENST00000206262	7932	184	633	7115
ENST00000209875	11546	157	576	10813
ENST00000217121	2362	72	690	1600
ENST00000204517	2163	277	1017	869
ENST00000217740	5573	39	699	4835
ENST00000217289	4637	275	2034	2328
ENST00000217131	1502	126	912	464
ENST00000216286	4870	65	4128	677
ENST00000205194	1350	119	621	610
ENST00000205636	3307	107	552	2648
ENST00000216271	2567	233	2010	324
ENST00000216367	1692	11	1584	97
ENST00000217386	513	36	378	99
ENST00000210187	1674	159	771	744
ENST00000216034	2031	22	429	1580
ENST00000199706	1524	47	771	706
ENST00000216294	2593	41	1107	1445
ENST00000212355	6339	387	2556	3396
ENST00000216471	2564	286	2025	253
ENST00000216144	3334	422	648	2264
ENST00000209540	1242	86	1068	88
ENST00000216554	5710	441	1296	3973
ENST00000202816	3216	108	2556	552
ENST00000210060	1345	114	1110	121
ENST00000216146	1296	26	1212	58
ENST00000216513	6491	277	2346	3868
ENST00000216036	1188	94	1047	47
ENST00000216756	953	39	639	275
ENST00000216442	1599	106	744	749
ENST00000206513	1191	164	846	181
ENST00000217893	1163	168	795	200
ENST00000216484	8034	58	1689	6287
ENST00000217426	2150	85	1299	766
ENST00000205143	2332	7	1857	468
ENST00000216923	3057	143	2046	868
ENST00000203629	1976	333	1578	65
ENST00000211076	1573	212	729	632
ENST00000217173	4300	141	1626	2533
ENST00000205061	8261	20	3612	4629
ENST00000201979	1660	298	897	465
ENST00000217159	2716	147	2169	400
ENST00000215980	938	76	543	319
ENST00000216214	3458	834	1074	1550
ENST00000203407	1595	26	1443	126
ENST00000216452	1394	65	567	762
ENST00000206380	1525	11	774	740
ENST00000215742	1913	207	930	776
ENST00000204549	2823	27	1458	1338
ENST00000215061	1111	22	795	294
ENST00000215570	1664	53	288	1323
ENST00000216037	1850	73	786	991
ENST00000215743	2261	22	1467	772
ENST00000200457	1693	111	1431	151
ENST00000215095	4674	242	867	3565
ENST00000216479	1337	97	1017	223
ENST00000216252	1053	39	333	681
ENST00000198801	2723	51	1005	1667
ENST00000216297	4433	92	3144	1197
ENST00000203556	3528	128	2913	487
ENST00000199447	2308	372	1767	169
ENST00000217320	2076	37	648	1391
ENST00000217305	2556	227	765	1564
ENST00000216840	1946	165	1704	77
ENST00000216862	3278	407	1545	1326
ENST00000215794	1858	159	1119	580
ENST00000215909	528	67	408	53
ENST00000216468	7761	41	978	6742
ENST00000216416	4735	47	435	4253
ENST00000216487	3852	152	2958	742
ENST00000216629	1301	220	1062	19
ENST00000207549	4080	67	3273	740
ENST00000215071	1518	31	1053	434
ENST00000216962	4116	94	2532	1490
ENST00000205402	3537	68	1530	1939
ENST00000216420	1962	54	999	909
ENST00000215770	1582	27	405	1150
ENST00000216268	6893	475	3516	2902
ENST00000216044	4905	12	2010	2883
ENST00000210444	1179	77	1080	22
ENST00000215637	1541	14	1149	378
ENST00000206765	2744	91	2454	199
ENST00000216774	2187	257	1515	415
ENST00000216807	2637	179	972	1486
ENST00000203630	1555	231	747	577
ENST00000216124	4294	373	1530	2391
ENST00000216639	1663	71	1191	401
ENST00000205386	5857	80	5286	491
ENST00000217244	12984	345	1176	11463
ENST00000215882	1548	63	936	549
ENST00000203001	2929	128	1494	1307
ENST00000216727	1811	13	921	877
ENST00000215957	4710	126	2592	1992
ENST00000217446	1639	7	1308	324
ENST00000216392	2799	80	2544	175
ENST00000217999	747	51	555	141
ENST00000203166	4324	60	1902	2362
ENST00000206423	12301	828	2853	8620
ENST00000216027	1106	57	708	341
ENST00000217901	1335	49	1182	104
ENST00000216177	2539	133	1290	1116
ENST00000207457	1490	108	1293	89
ENST00000216780	2179	95	1923	161
ENST00000217246	4994	395	1278	3321
ENST00000216223	4034	125	1656	2253
ENST00000216101	1431	451	612	368
ENST00000216075	1689	39	858	792
ENST00000206249	6327	231	1788	4308
ENST00000217195	1302	152	600	550
ENST00000217515	6840	152	870	5818
ENST00000232564	6315	167	1023	5125
ENST00000221200	3367	187	1170	2010
ENST00000221992	3501	106	2109	1286
ENST00000219479	1000	24	564	412
ENST00000232766	4622	22	1725	2875
ENST00000219204	1969	109	492	1368
ENST00000225296	5535	123	2124	3288
ENST00000221665	2645	80	1491	1074
ENST00000226004	4095	53	558	3484
ENST00000229971	2810	391	1866	553
ENST00000230568	859	15	489	355
ENST00000228510	2833	94	1191	1548
ENST00000228463	1704	177	1287	240
ENST00000220478	3160	253	1407	1500
ENST00000231238	1441	84	879	478
ENST00000219746	4959	420	1731	2808
ENST00000231524	3863	59	1725	2079
ENST00000229251	1721	125	828	768
ENST00000221498	939	122	729	88
ENST00000228567	4461	297	1572	2592
ENST00000220592	14595	127	2580	11888
ENST00000222139	2411	107	1527	777
ENST00000219782	2698	106	1482	1110
ENST00000223061	1516	94	1350	72
ENST00000231887	3801	27	2172	1602
ENST00000227451	6003	464	1860	3679
ENST00000221130	3034	11	1569	1454
ENST00000233146	3115	36	2805	274
ENST00000219660	1325	99	786	440
ENST00000223864	981	269	444	268
ENST00000223795	3779	288	705	2786
ENST00000227251	848	185	528	135
ENST00000220940	728	90	477	161
ENST00000221538	2442	132	2154	156
ENST00000223029	1198	92	963	143
ENST00000221307	5053	50	1563	3440
ENST00000223114	2147	182	1026	939
ENST00000226444	1773	106	885	782
ENST00000226021	1302	107	669	526
ENST00000228922	1780	32	1053	695
ENST00000228534	1037	161	570	306
ENST00000229214	10104	12	1146	8946
ENST00000230321	1606	196	741	669
ENST00000220659	2560	78	1260	1222
ENST00000225525	1280	52	375	853
ENST00000230050	503	82	399	22
ENST00000226730	1029	285	462	282
ENST00000221561	1884	180	795	909
ENST00000228495	3920	38	942	2940
ENST00000233025	1082	205	510	367
ENST00000222033	1440	75	1290	75
ENST00000221086	7081	73	1650	5358
ENST00000226218	1626	104	1437	85
ENST00000228606	2372	37	1527	808
ENST00000230048	4041	187	423	3431
ENST00000221980	3029	92	2775	162
ENST00000222553	4360	99	1476	2785
ENST00000221132	2690	41	1407	1242
ENST00000231461	6321	327	1080	4914
ENST00000218176	4718	1573	1944	1201
ENST00000228850	3334	551	2562	221
ENST00000222005	1618	63	1137	418
ENST00000225726	3283	205	1452	1626
ENST00000222330	2193	137	1452	604
ENST00000220764	2760	16	1008	1736
ENST00000221114	1054	15	573	466
ENST00000231948	2187	4	1329	854
ENST00000229268	3162	30	2577	555
ENST00000224950	6369	147	1107	5115
ENST00000219833	3248	441	1887	920
ENST00000222990	4704	20	1398	3286
ENST00000228468	4072	385	1725	1962
ENST00000227756	2503	412	1824	267
ENST00000222115	2087	35	1737	315
ENST00000222693	2953	44	489	2420
ENST00000225842	594	72	291	231
ENST00000226225	3570	210	951	2409
ENST00000232217	694	57	405	232
ENST00000218249	1029	47	837	145
ENST00000222402	3982	97	444	3441
ENST00000230361	2270	136	603	1531
ENST00000221801	1125	79	966	80
ENST00000230122	5501	150	2094	3257
ENST00000228318	5987	59	1089	4839
ENST00000228136	3920	132	552	3236
ENST00000229243	1905	66	1632	207
ENST00000229554	2840	145	2151	544
ENST00000219789	1843	369	642	832
ENST00000232461	3599	116	1053	2430
ENST00000229922	2925	153	1434	1338
ENST00000223836	736	96	633	7
ENST00000219240	4669	21	1188	3460
ENST00000225719	9372	54	4143	5175
ENST00000221444	4151	114	1371	2666
ENST00000222728	989	25	702	262
ENST00000222644	8346	144	1623	6579
ENST00000231420	2219	57	1545	617
ENST00000228938	694	66	387	241
ENST00000222339	3309	235	2961	113
ENST00000219334	5271	424	1968	2879
ENST00000232496	1669	124	333	1212
ENST00000222256	1496	147	663	686
ENST00000231134	3410	229	2388	793
ENST00000221418	1200	22	987	191
ENST00000228027	2407	214	1167	1026
ENST00000220003	2743	706	1353	684
ENST00000221730	1838	237	1083	518
ENST00000221954	1205	111	735	359
ENST00000222674	1190	47	591	552
ENST00000227868	2500	38	1506	956
ENST00000232978	7265	116	4389	2760
ENST00000228843	2163	50	1059	1054
ENST00000233057	9975	256	1656	8063
ENST00000221315	4637	336	1959	2342
ENST00000230340	1718	64	1314	340
ENST00000226413	4402	53	987	3362
ENST00000230085	1535	119	489	927
ENST00000219271	4062	597	2010	1455
ENST00000231790	2494	30	2271	193
ENST00000229239	1285	76	1008	201
ENST00000231009	1506	67	795	644
ENST00000223293	1443	88	1014	341
ENST00000221265	2200	242	1596	362
ENST00000221856	1833	149	1491	193
ENST00000222982	1720	100	1509	111
ENST00000231509	3556	492	2337	727
ENST00000218147	6860	197	5136	1527
ENST00000220325	6401	63	1626	4712
ENST00000231449	615	62	462	91
ENST00000232501	1542	123	1143	276
ENST00000222572	1610	77	1065	468
ENST00000228251	1931	212	1119	600
ENST00000222224	1381	26	795	560
ENST00000233154	2666	427	1143	1096
ENST00000225792	3684	170	1845	1669
ENST00000222307	1344	66	531	747
ENST00000227349	7057	303	2337	4417
ENST00000221496	1809	10	1683	116
ENST00000228434	1676	81	600	995
ENST00000219139	2917	235	1269	1413
ENST00000225609	1289	17	759	513
ENST00000232888	1542	37	1428	77
ENST00000226574	4055	437	2910	708
ENST00000228918	2134	197	1308	629
ENST00000231061	3451	64	912	2475
ENST00000219022	2843	24	1533	1286
ENST00000225298	1876	39	1671	166
ENST00000225665	1692	136	945	611
ENST00000222390	5834	76	2187	3571
ENST00000223500	1901	30	660	1211
ENST00000225992	468	56	288	124
ENST00000225328	2060	150	1269	641
ENST00000227322	6539	33	1380	5126
ENST00000221399	1763	156	1563	44
ENST00000229769	2576	208	1611	757
ENST00000221486	1164	90	900	174
ENST00000225538	2662	240	1200	1222
ENST00000222792	3167	167	1407	1593
ENST00000225844	823	47	297	479
ENST00000224237	1868	145	1401	322
ENST00000221930	2780	878	1173	729
ENST00000228682	3972	444	3321	207
ENST00000220913	2481	178	396	1907
ENST00000230124	3025	140	2724	161
ENST00000222381	2393	57	1068	1268
ENST00000220812	896	184	675	37
ENST00000219315	6256	21	1422	4813
ENST00000230431	654	25	525	104
ENST00000219409	964	90	678	196
ENST00000219368	2405	65	1119	1221
ENST00000218224	1113	257	798	58
ENST00000226382	2785	115	945	1725
ENST00000223127	2821	307	2217	297
ENST00000219244	616	129	285	202
ENST00000222249	3625	319	1632	1674
ENST00000227266	1870	64	1392	414
ENST00000219069	3282	328	2052	902
ENST00000222574	2834	198	1545	1091
ENST00000229304	894	36	711	147
ENST00000226319	5695	204	2529	2962
ENST00000228945	1174	77	606	491
ENST00000229379	537	14	330	193
ENST00000221462	2946	147	2076	723
ENST00000231130	3355	177	2391	787
ENST00000220514	1201	30	690	481
ENST00000231572	2122	28	1983	111
ENST00000229281	561	100	381	80
ENST00000221166	3271	33	2751	487
ENST00000229266	1572	222	1221	129
ENST00000231498	8068	129	4176	3763
ENST00000219097	1615	47	759	809
ENST00000227667	535	47	300	188
ENST00000225728	1629	77	396	1156
ENST00000218436	4964	45	3942	977
ENST00000225927	2475	32	2232	211
ENST00000228289	3543	206	2844	493
ENST00000228741	4201	333	1224	2644
ENST00000221978	774	119	498	157
ENST00000228740	2140	68	1836	236
ENST00000222382	1515	0	1515	0
ENST00000221804	631	77	429	125
ENST00000229812	3585	295	1398	1892
ENST00000230582	2887	37	1545	1305
ENST00000226279	5620	87	903	4630
ENST00000229030	3277	479	1746	1052
ENST00000233202	3608	96	1653	1859
ENST00000223271	685	72	492	121
ENST00000226253	1608	107	1095	406
ENST00000220507	1650	95	711	844
ENST00000231173	3971	184	2364	1423
ENST00000218516	1318	22	1290	6
ENST00000222462	3150	293	1098	1759
ENST00000227758	3764	1420	1857	487
ENST00000218348	3338	49	2892	397
ENST00000226460	666	97	405	164
ENST00000232424	1575	233	843	499
ENST00000223862	1009	130	558	321
ENST00000230301	1822	19	1410	393
ENST00000223642	5464	29	5031	404
ENST00000219168	1626	369	369	888
ENST00000226951	5502	143	1287	4072
ENST00000228476	1694	142	1044	508
ENST00000229277	2294	92	1305	897
ENST00000225504	1488	66	354	1068
ENST00000219596	3506	46	2346	1114
ENST00000231368	12134	76	3078	8980
ENST00000233143	461	78	135	248
ENST00000228936	5160	413	945	3802
ENST00000219794	2036	271	1239	526
ENST00000222726	1670	74	813	783
ENST00000219070	3514	282	1983	1249
ENST00000229758	2054	82	1344	628
ENST00000231751	2721	38	2133	550
ENST00000229329	1748	86	1305	357
ENST00000219919	2849	185	888	1776
ENST00000229563	1016	216	339	461
ENST00000229447	7513	140	882	6491
ENST00000219150	1623	125	1386	112
ENST00000225698	1169	82	849	238
ENST00000229729	2585	17	2133	435
ENST00000227918	506	59	282	165
ENST00000222747	2585	395	918	1272
ENST00000224784	1349	66	1134	149
ENST00000231706	10140	317	2316	7507
ENST00000220676	7071	119	6471	481
ENST00000229179	6213	88	2778	3347
ENST00000228515	4517	344	1632	2541
ENST00000231021	3082	173	2370	539
ENST00000231656	1775	99	798	878
ENST00000228506	6341	148	879	5314
ENST00000225474	1509	31	624	854
